,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,3140.0,3200.0,3140.0,3190.0,2953.154541015625,55525800,
1,2021-07-27,3210.0,3270.0,3160.0,3270.0,3027.21484375,62673400,
2,2021-07-28,3250.0,3250.0,3150.0,3190.0,2953.154541015625,103282300,
3,2021-07-29,3210.0,3290.0,3200.0,3230.0,2990.184814453125,126542400,
4,2021-07-30,3200.0,3290.0,3200.0,3240.0,2999.4423828125,95143100,
5,2021-08-02,3240.0,3310.0,3210.0,3310.0,3064.2451171875,60368200,2.0
6,2021-08-03,3310.0,3360.0,3290.0,3330.0,3082.760009765625,89712500,2.0
7,2021-08-04,3330.0,3370.0,3310.0,3370.0,3119.7900390625,63108600,0.0
8,2021-08-05,3360.0,3400.0,3320.0,3340.0,3092.017578125,89742800,2.0
9,2021-08-06,3360.0,3380.0,3310.0,3320.0,3073.50244140625,31664200,2.0
10,2021-08-09,3260.0,3300.0,3220.0,3250.0,3008.699951171875,70299500,2.0
11,2021-08-10,3240.0,3270.0,3190.0,3230.0,2990.184814453125,57658000,1.0
12,2021-08-12,3260.0,3350.0,3240.0,3350.0,3101.275146484375,93133400,2.0
13,2021-08-13,3370.0,3380.0,3260.0,3300.0,3054.987548828125,59903600,2.0
14,2021-08-16,3300.0,3340.0,3290.0,3340.0,3092.017578125,38661800,2.0
15,2021-08-18,3360.0,3440.0,3350.0,3420.0,3166.078125,162921300,2.0
16,2021-08-19,3410.0,3430.0,3360.0,3390.0,3138.30517578125,100851800,2.0
17,2021-08-20,3390.0,3430.0,3370.0,3400.0,3147.56298828125,113411000,2.0
18,2021-08-23,3420.0,3440.0,3400.0,3440.0,3184.593017578125,64122400,0.0
19,2021-08-24,3410.0,3420.0,3310.0,3400.0,3147.56298828125,69338100,2.0
20,2021-08-25,3390.0,3390.0,3330.0,3370.0,3119.7900390625,66618200,2.0
21,2021-08-26,3330.0,3360.0,3320.0,3360.0,3110.53271484375,55756100,2.0
22,2021-08-27,3370.0,3370.0,3310.0,3320.0,3073.50244140625,62419000,1.0
23,2021-08-30,3330.0,3400.0,3330.0,3400.0,3147.56298828125,64177700,2.0
24,2021-08-31,3400.0,3420.0,3360.0,3400.0,3147.56298828125,130019000,2.0
25,2021-09-01,3420.0,3420.0,3330.0,3340.0,3092.017578125,85135200,2.0
26,2021-09-02,3350.0,3390.0,3350.0,3370.0,3119.7900390625,51633800,2.0
27,2021-09-03,3400.0,3420.0,3370.0,3390.0,3138.30517578125,65479800,2.0
