,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,2930.0,2950.0,2840.0,2860.0,2860.0,32231500,
1,2021-07-27,2880.0,2940.0,2820.0,2830.0,2830.0,26127500,
2,2021-07-28,2850.0,2890.0,2840.0,2880.0,2880.0,30185500,
3,2021-07-29,2880.0,2990.0,2810.0,2970.0,2970.0,65108800,
4,2021-07-30,3010.0,3060.0,2960.0,2960.0,2960.0,55473100,
5,2021-08-02,2960.0,3000.0,2860.0,2890.0,2890.0,28328600,2.0
6,2021-08-03,2900.0,2970.0,2890.0,2910.0,2910.0,40119400,2.0
7,2021-08-04,2910.0,2910.0,2850.0,2870.0,2870.0,25300300,2.0
8,2021-08-05,2870.0,2960.0,2830.0,2830.0,2830.0,47847600,2.0
9,2021-08-06,2830.0,2850.0,2650.0,2690.0,2690.0,45599200,2.0
10,2021-08-09,2680.0,2680.0,2550.0,2620.0,2620.0,39158300,2.0
11,2021-08-10,2600.0,2650.0,2540.0,2580.0,2580.0,57960000,1.0
12,2021-08-12,2600.0,2830.0,2540.0,2790.0,2790.0,97835400,2.0
13,2021-08-13,2820.0,2850.0,2760.0,2820.0,2820.0,58690200,2.0
14,2021-08-16,2850.0,2850.0,2680.0,2720.0,2720.0,39447100,2.0
15,2021-08-18,2720.0,2770.0,2620.0,2700.0,2700.0,64269100,2.0
16,2021-08-19,2700.0,2750.0,2640.0,2670.0,2670.0,60965700,2.0
17,2021-08-20,2610.0,2690.0,2560.0,2640.0,2640.0,57808900,1.0
18,2021-08-23,2650.0,2760.0,2640.0,2730.0,2730.0,51985400,2.0
19,2021-08-24,2750.0,2750.0,2660.0,2700.0,2700.0,42185900,2.0
20,2021-08-25,2650.0,2720.0,2640.0,2700.0,2700.0,69867300,2.0
21,2021-08-26,2680.0,2720.0,2650.0,2700.0,2700.0,39264900,2.0
22,2021-08-27,2700.0,2720.0,2660.0,2690.0,2690.0,42611800,2.0
23,2021-08-30,2720.0,2830.0,2710.0,2810.0,2810.0,63122800,2.0
24,2021-08-31,2810.0,2840.0,2710.0,2820.0,2820.0,54591000,2.0
25,2021-09-01,2820.0,2850.0,2770.0,2790.0,2790.0,55351800,2.0
26,2021-09-02,2800.0,2830.0,2790.0,2820.0,2820.0,40910800,2.0
27,2021-09-03,2820.0,2820.0,2740.0,2800.0,2800.0,43153800,2.0
28,2021-09-06,2800.0,2890.0,2790.0,2860.0,2860.0,55928300,0.0
